001	Jinglan Celestial Realm	靖澜天朝
002	Great Qinghe Dynasty	大青河王朝
003	Xuanlong Mandate	玄龙天命
004	Mingyue Court	明月朝廷
005	Cangshan Kingdom	苍山王国
006	Yunhai Sea Realm	云海国
007	Ruihua Commonwealth	瑞华合众邦
008	Tianyu High Kingdom	天玉高王国
009	Heian Shogunate	平安幕府
010	Kurotsuki Shogunate	黑月幕府
011	Akane River League	茜河联盟
012	Hoshino Star Court	星野星庭
013	Baekrim Mountain Realm	白林山国
014	Cheonghae Sea Kingdom	青海王国
015	Garam River Mandate	江岚天命
016	Mireu Dragon Court	龙渊朝廷
017	Tengri Banner State	腾玄旗国
018	Selen Steppe Hanate	瑟岚汗庭
019	Boran Jade Protectorate	博岚玉镇护
020	Arun Cloud Confederacy	阿岚云邦联
021	The HeiKaze Mandate	黑风天命
022	HeiHai Jade Dominion	黑海玉都护
023	HaneulFeng Jade Dominion	天原风玉都护
024	CangWei River League	苍巍河盟
025	Western YunRui Protectorate	西云瑞镇护府
026	ZhaoLuo Dynasty	昭洛王朝
027	Western YueCang Protectorate	西月苍镇护府
028	ShiroJing Cloud Court	白靖云庭
029	MuJin Mountain Kingdom	木金山国
030	TsukiSora Jade Dominion	月空玉都护
031	SoraSong Jade Dominion	空松玉都护
032	Court of JingHana	靖花朝廷
033	Eastern GaramHan Court	东江岚寒朝
034	Southern ArunSelen Kingdom	南阿岚瑟岚王国
035	Western MeiYao Protectorate	西梅曜镇护府
036	JinAkane Banner State	金茜旗国
037	Eastern YinShan Court	东银山朝
038	YaoKiri Sea Kingdom	曜雾海国
039	NingTsuki Banner State	宁月旗国
040	Western HaneulAn Protectorate	西天原安镇护府
041	The KumoChun Mandate	云春天命
042	Court of SelenCheong	瑟岚青川朝廷
043	ZhuYan High Kingdom	竹焰高王国
044	SeorimLin Jade Dominion	瑞林林玉都护
045	TianNing Banner State	天宁旗国
046	Great BaiCang Celestial Realm	大白苍天朝
047	Southern BaekShui Kingdom	南白岳水王国
048	HuaHoshino Great State	华星野大国
049	YinShen Banner State	银神旗国
050	BaekSelen Jade Dominion	白岳瑟岚玉都护
051	Eastern MuHoshino Court	东木星野朝
052	Southern KumoHua Kingdom	南云华王国
053	Northern KazeLing Realm	北风陵国
054	Celestial FengHai Realm	风海天朝
055	ShanArun Great State	山阿岚大国
056	The HeiYue Mandate	黑月天命
