001	Valgora	瓦尔戈拉国
002	Svyarin	斯维亚林国
003	Holvig	霍尔维格国
004	Mirova	米罗瓦国
005	Novrad	诺夫拉德国
006	Bransk	布兰斯克国
007	Olevik	奥列维克国
008	Veshra	维什拉国
009	Karmol	卡尔莫尔国
010	Radovik	拉多维克国
011	Jurska	尤尔斯卡国
012	Glenvar	格伦瓦尔国
013	Viradov	维拉多夫国
014	Solnek	索尔涅克国
015	Dragor	德拉戈尔国
016	Heimvar	海姆瓦尔国
017	Ostva	奥斯特瓦国
018	Skoren	斯科伦国
019	Volgarin	沃尔加林国
020	Kalevor	卡列沃尔国
021	Freyrik	弗雷里克国
022	Miromor	米罗莫尔国
023	Ivaslav	伊瓦斯拉夫国
024	Karyev	卡尔耶夫国
025	Norvir	诺尔维尔国
026	Mirovir	米罗维尔国
027	Kravik	克拉维克国
028	Runask	鲁纳斯克国
029	Kalekald	卡列卡尔德国
030	Skograd	斯科格勒国
031	Styrborg	斯泰博尔格国
032	Perlin	佩尔林国
033	Moraborg	莫拉博尔格国
034	Miroborg	米罗博尔格国
035	Holvor	霍尔沃尔国
036	Ostrik	奥斯里克国
037	Yarosvor	雅罗斯沃尔国
038	Yaroslin	雅罗斯林国
039	Svisov	斯维索夫国
040	Jurvir	尤尔维尔国
041	Virdal	维尔达尔国
042	Solvor	索尔沃尔国
043	Valvor	瓦尔沃尔国
044	Bjolund	布约伦德国
045	Runanov	鲁纳诺夫国
046	Holvir	霍尔维尔国
047	Yarosheim	雅罗斯海姆国
048	Karmir	卡尔米尔国
049	Snomir	斯诺米尔国
050	Runagora	鲁纳戈拉国
051	Olegar	奥列加尔国
052	Kaleyev	卡列耶夫国
053	Heimslav	海姆斯拉夫国
054	Savihov	萨维霍夫国
055	Krasov	克拉索夫国
056	Volheim	沃尔海姆国
057	Svigrad	斯维格勒国
058	Holgrad	霍尔格勒国
059	Skodal	斯科达尔国
060	Svigora	斯维戈拉国
061	Rosvik	洛斯维克国
062	Brannar	布兰纳尔国
063	Snogar	斯诺加尔国
064	Yarosnov	雅罗斯诺夫国
065	Norgrad	诺尔格勒国
066	Hronar	赫罗纳尔国
067	Glenrad	格伦拉德国
068	Snonar	斯诺纳尔国
069	Skoborg	斯科博尔格国
070	Hrograd	赫罗格勒国
071	Drarik	德拉里克国
072	Karvir	卡尔维尔国
073	Valnika	瓦尔尼卡国
074	Kalelov	卡列洛夫国
075	Torgar	托尔加尔国
076	Bjosov	布约索夫国
077	Ivanar	伊瓦纳尔国
078	Norvara	诺尔瓦拉国
079	Volrad	沃尔拉德国
080	Bjokald	布约卡尔德国
081	Bjosten	布约斯滕国
082	Sviborg	斯维博尔格国
