001	Tawari	塔瓦里国
002	Mbekwa	姆贝夸国
003	Ndava	恩达瓦国
004	Kayaru	卡亚鲁国
005	Itana	伊塔纳国
006	Kwaramba	夸兰巴国
007	Lumasi	卢玛西国
008	Amayan	阿马扬国
009	Kuntara	昆塔拉国
010	Nawela	纳韦拉国
011	Mtuya	姆图亚国
012	Iwara	伊瓦拉国
013	Nkwani	恩夸尼国
014	Yaruma	雅鲁马国
015	Takumba	塔昆巴国
016	Sanwela	桑韦拉国
017	Umkora	乌姆科拉国
018	Kalemba	卡连巴国
019	Nzuma	恩祖马国
020	Itakwa	伊塔夸国
021	Lumanaru	卢玛纳鲁国
022	Ayawa	阿亚瓦国
023	Kayatonga	卡亚通加国
024	Ayatonga	阿亚通加国
025	Arukito	阿鲁基托国
026	Itabamba	伊塔班巴国
027	Waitara	瓦伊塔拉国
028	Kayakana	卡亚卡纳国
029	Yarula	雅鲁拉国
030	Tambunte	坦布恩特国
031	Nkwawela	恩夸韦拉国
032	Amabamba	阿马班巴国
033	Iwayuma	伊瓦尤玛国
034	Sapatara	萨帕塔拉国
035	Ayala	阿亚拉国
036	Kayana	卡亚纳国
037	Mtula	姆图拉国
038	Sapayuma	萨帕尤玛国
039	Zumasanga	祖玛桑加国
040	Ndaru	恩达鲁国
041	Kalatara	卡拉塔拉国
042	Lukanpana	卢坎帕纳国
043	Yarukora	雅鲁科拉国
044	Kumbapana	昆巴帕纳国
045	Zumarumba	祖玛伦巴国
046	Ndakito	恩达基托国
047	Quirante	奎拉恩特国
048	Arusanga	阿鲁桑加国
049	Ngowela	恩戈韦拉国
050	Tambunaru	坦布纳鲁国
051	Kuntayuma	昆塔尤玛国
052	Ayayuma	阿亚尤玛国
053	Sanwekora	桑韦科拉国
054	Chakukora	查库科拉国
055	Ngowa	恩戈瓦国
056	Ayarumba	阿亚伦巴国
057	Takunmara	塔昆马拉国
058	Ikanaru	伊卡纳鲁国
059	Tumakora	图马科拉国
060	Ayabamba	阿亚班巴国
061	Takunri	塔昆里国
062	Oyayuma	奥亚尤玛国
063	Kayamba	卡亚姆巴国
064	Nkwasi	恩夸西国
065	Niabamba	尼亚班巴国
066	Takunna	塔昆纳国
067	Oyani	奥亚尼国
068	Lumawela	卢玛韦拉国
069	Kalani	卡拉尼国
070	Kayante	卡亚恩特国
071	Niakwa	尼亚夸国
072	Sanwepana	桑韦帕纳国
073	Waitonga	瓦伊通加国
074	Niambo	尼亚姆博国
075	Kumbante	昆巴恩特国
076	Takuntara	塔昆塔拉国
077	Iwakito	伊瓦基托国
078	Pachante	帕查恩特国
079	Niaru	尼亚鲁国
080	Tumasanga	图马桑加国
081	Tumakana	图马卡纳国
082	Mbani	姆巴尼国
083	Lumante	卢玛恩特国
084	Yambakora	扬巴科拉国
085	Ayawela	阿亚韦拉国
086	Umru	乌姆鲁国
087	Kayayuma	卡亚尤玛国
088	Kwaranzanda	夸兰赞达国
089	Nialuma	尼亚卢玛国
090	Itanaru	伊塔纳鲁国
091	Yambaluma	扬巴卢玛国
092	Yambayuma	扬巴尤玛国
093	Ikambo	伊卡姆博国
094	Kalasi	卡拉西国
095	Kayazanda	卡亚赞达国
096	Umwa	乌姆瓦国
097	Mtunte	姆图恩特国
098	Sanweni	桑韦尼国
099	Zumamba	祖玛姆巴国
100	Sapaluma	萨帕卢玛国
101	Tumatara	图马塔拉国
102	Takunsi	塔昆西国
103	Itayuma	伊塔尤玛国
104	Samumara	萨姆马拉国
105	Tambuna	坦布纳国
106	Mtuwela	姆图韦拉国
107	Yarusanga	雅鲁桑加国
108	Mbambo	姆巴姆博国
109	Aruya	阿鲁亚国
110	Takunwamba	塔昆温巴国
111	Kumbana	昆巴纳国
112	Ngombo	恩戈姆博国
113	Mbekora	姆贝科拉国
114	Nzuna	恩祖纳国
115	Ngopana	恩戈帕纳国
116	Sapana	萨帕纳国
117	Oyawa	奥亚瓦国
118	Tambuwa	坦布瓦国
119	Mtumara	姆图马拉国
120	Mbala	姆巴拉国
121	Takuntonga	塔昆通加国
122	Tawarumba	塔瓦伦巴国
123	Mbawa	姆巴瓦国
124	Kumbakito	昆巴基托国
125	Itani	伊塔尼国
126	Pacharu	帕查鲁国
127	Chakuwamba	查库温巴国
128	Samuni	萨姆尼国
129	Tawaru	塔瓦鲁国
130	Yambakana	扬巴卡纳国
131	Niamara	尼亚马拉国
132	Lukanna	卢坎纳国
133	Mbamara	姆巴马拉国
134	Yaruna	雅鲁纳国
135	Naweru	纳韦鲁国
136	Pachani	帕查尼国
137	Mtutara	姆图塔拉国
138	Mbakora	姆巴科拉国
139	Kalawela	卡拉韦拉国
140	Ayani	阿亚尼国
141	Naweya	纳韦亚国
142	Itasi	伊塔西国
