001	Valorian Dominion	瓦洛里亚领邦
002	Aurelian Empire	奥瑞利亚帝国
003	Drakemarch Kingdom	龙境王国
004	Ironvale Confederacy	铁谷邦联
005	Eldergate Realm	古门王国
006	Stormcrown Dominion	风暴冠领
007	Ashenford Kingdom	灰津王国
008	Silvermere Union	银泽联盟
009	Highspire Empire	高塔帝国
010	Blackthorn Dominion	黑棘领邦
011	Emberfall Realm	烬落王国
012	Frosthaven Kingdom	霜港王国
013	Goldenreach League	金境联盟
014	Ravencrest Dominion	鸦岭领邦
015	Sunspire Empire	日塔帝国
016	Shadowfen Realm	影沼王国
017	Thornwatch Kingdom	棘望王国
018	Moonvale Compact	月谷盟约
019	Redwyvern Dominion	赤翼龙领
020	Whiteharbor League	白港联盟
021	Stormveil Kingdom	风幕王国
022	Ironhold Empire	铁堡帝国
023	Duskmere Dominion	暮泽领邦
024	Brightwater Republic	明水共和国
025	Wolfguard Kingdom	狼卫王国
026	Starfall Dominion	星落领邦
027	Crownhold Empire	王冠堡帝国
028	Westmarch Realm	西境王国
029	Ebonreach Kingdom	乌境王国
030	Dawncrest League	晨岭联盟
031	Stonehaven Dominion	石港领邦
032	Dragonmere Empire	龙泽帝国
033	Frostmarch Kingdom	霜境王国
034	Amberfall Republic	琥珀瀑共和国
035	Silverthorn Dominion	银棘领邦
036	Nightvale Realm	夜谷王国
037	Goldspire Empire	金塔帝国
038	Ashbourne Kingdom	灰溪王国
039	Redhaven Dominion	赤港领邦
040	Ironcrown Compact	铁冠盟约
041	Blackwater League	黑水联盟
042	Stormridge Kingdom	风暴岭王国
043	Greystone Dominion	灰石领邦
044	Windmere Republic	风泽共和国
045	Eldoria Empire	艾尔多利亚帝国
046	Northreach Kingdom	北境王国
047	Sunhaven Dominion	日港领邦
048	Ravenhold Realm	鸦堡王国
049	Frostspire Union	霜塔联盟
050	Emberwatch Kingdom	烬望王国
051	Valemarch Dominion	谷境领邦
052	Dragonfall Empire	龙陨帝国
053	Whitecrest League	白岭联盟
054	Shadowreach Kingdom	影境王国
055	Goldthorn Dominion	金棘领邦
056	Ashenreach Realm	灰境王国
057	Ironmere Confederacy	铁泽邦联
058	Stormhold Empire	风暴堡帝国
059	Silvergate Kingdom	银门王国
060	Blackspire Dominion	黑塔领邦
061	Dawnmere Republic	晨泽共和国
062	Wolfmere Kingdom	狼泽王国
063	Redcrown Dominion	赤冠领邦
064	Frostgate Realm	霜门王国
065	Moonspire Compact	月塔盟约
066	Starhaven Dominion	星港领邦
067	Stonefall Kingdom	石陨王国
068	Embercrown Empire	烬冠帝国
069	Highmere Union	高泽联盟
070	Ravenwatch Dominion	鸦望领邦
071	Goldenvale Kingdom	金谷王国
072	Nightspire Realm	夜塔王国
073	Ironwatch Dominion	铁望领邦
074	Brightspire Republic	明塔共和国
075	Stormfall Empire	风暴陨帝国
076	Shadowgate Kingdom	影门王国
077	Whitevale League	白谷联盟
078	Ashthorn Dominion	灰棘领邦
079	Dragonwatch Realm	龙望王国
080	Silvercrown Kingdom	银冠王国
081	Redmere Dominion	赤泽领邦
082	Frostvale Compact	霜谷盟约
